fold,test_subject,model,n_test,accuracy,f1_macro,f1_weighted
1,2,LogReg,194,0.37628865979381443,0.40079048195200645,0.30132530045340866
1,2,RandomForest,194,0.7525773195876289,0.547605083088954,0.6902228134353174
1,2,SVM-RBF,194,0.422680412371134,0.45831489559969646,0.40172106311223255
2,3,LogReg,197,0.8223350253807107,0.7962149760710912,0.8252810501285833
2,3,RandomForest,197,0.7817258883248731,0.5926995008719707,0.7320231031776485
2,3,SVM-RBF,197,0.8071065989847716,0.7703022475813294,0.8098476261545678
3,4,LogReg,198,0.8535353535353535,0.7985127985127985,0.8550845217511884
3,4,RandomForest,198,0.8434343434343434,0.6254980079681275,0.7748199122701115
3,4,SVM-RBF,198,0.8535353535353535,0.8024208161194463,0.8543633771944275
4,5,LogReg,203,0.8275862068965517,0.712516987966445,0.8088259718916461
4,5,RandomForest,203,0.8226600985221675,0.5900786523812472,0.7553166855866407
4,5,SVM-RBF,203,0.8768472906403941,0.7887186077891905,0.8640190285300977
5,6,LogReg,202,0.7376237623762376,0.7386100509482736,0.7508289049178686
5,6,RandomForest,202,0.8613861386138614,0.7499160115568099,0.8350300661995247
5,6,SVM-RBF,202,0.7574257425742574,0.7529503604720578,0.7730662789381293
6,7,LogReg,201,0.4427860696517413,0.4652082560870103,0.4792703150912106
6,7,RandomForest,201,0.8606965174129353,0.7493112947658402,0.8373833312774969
6,7,SVM-RBF,201,0.48258706467661694,0.5051789077212806,0.49328920369901896
7,8,LogReg,203,0.7389162561576355,0.6270933008047369,0.7342270473450117
7,8,RandomForest,203,0.8325123152709359,0.6162685546659609,0.7708272556918504
7,8,SVM-RBF,203,0.7093596059113301,0.6478612173181385,0.7335657626050609
8,9,LogReg,202,0.7376237623762376,0.5702336658467142,0.7107282898526814
8,9,RandomForest,202,0.801980198019802,0.6204992599244957,0.747900923904694
8,9,SVM-RBF,202,0.6732673267326733,0.4965079365079365,0.6440924092409241
9,10,LogReg,209,0.569377990430622,0.507031421665568,0.5541849469962435
9,10,RandomForest,209,0.645933014354067,0.4687041962977037,0.5894198658749414
9,10,SVM-RBF,209,0.4019138755980861,0.42137675905787003,0.39010697839858743
10,11,LogReg,205,0.9121951219512195,0.8871214581948109,0.9168615366749456
10,11,RandomForest,205,0.8146341463414634,0.5885028578268546,0.7500747757275579
10,11,SVM-RBF,205,0.8634146341463415,0.7719510490262499,0.8501035898832067
11,13,LogReg,204,0.3284313725490196,0.22200637948669444,0.20283610649520795
11,13,RandomForest,204,0.3235294117647059,0.18893706477466823,0.19263140810127757
11,13,SVM-RBF,204,0.3088235294117647,0.18565266862480487,0.16571639372586375
12,14,LogReg,204,0.6666666666666666,0.6788642126135036,0.6793273383644075
12,14,RandomForest,204,0.6862745098039216,0.5104262662402198,0.6291767777745889
12,14,SVM-RBF,204,0.6568627450980392,0.6717171717171717,0.6698603683897801
13,15,LogReg,205,0.6829268292682927,0.6299764166835119,0.6807711793794712
13,15,RandomForest,205,0.6585365853658537,0.4479505148181498,0.5908418420205812
13,15,SVM-RBF,205,0.6878048780487804,0.640361111111111,0.681659756097561
14,16,LogReg,204,0.8872549019607843,0.7654989067779766,0.8603166251593065
14,16,RandomForest,204,0.6519607843137255,0.5636347897595706,0.6722289902781863
14,16,SVM-RBF,204,0.6470588235294118,0.5981282021012867,0.676579601454559
15,17,LogReg,209,0.631578947368421,0.6012691898464813,0.6508911565071116
15,17,RandomForest,209,0.7607655502392344,0.5987919484311669,0.7299596905077134
15,17,SVM-RBF,209,0.6746411483253588,0.6305576776165012,0.6954693491141564
